data_id,Date,calendar_enabled,remote_start_enabled,vehicle_id,display_name,color,backseat_token,notifications_enabled,vin,backseat_token_updated_at,id,tokens,id_s,state,user_charge_enable_request,time_to_full_charge,charge_current_request,charge_enable_request,charge_to_max_range,charger_phases,battery_heater_on,managed_charging_start_time,battery_range,charger_power,charge_limit_soc,charger_pilot_current,charge_port_latch,battery_current,charger_actual_current,scheduled_charging_pending,fast_charger_type,usable_battery_level,motorized_charge_port,charge_limit_soc_std,not_enough_power_to_heat,battery_level,charge_energy_added,charge_port_door_open,max_range_charge_counter,charge_limit_soc_max,ideal_battery_range,managed_charging_active,charging_state,fast_charger_present,trip_charging,managed_charging_user_canceled,scheduled_charging_start_time,est_battery_range,charge_rate,charger_voltage,charge_current_request_max,eu_vehicle,charge_miles_added_ideal,charge_limit_soc_min,charge_miles_added_rated,inside_temp,longitude,heading,gps_as_of,latitude,speed,shift_state,seat_heater_rear_right,seat_heater_rear_left_back,seat_heater_left,passenger_temp_setting,is_auto_conditioning_on,driver_temp_setting,outside_temp,seat_heater_rear_center,is_rear_defroster_on,seat_heater_rear_right_back,smart_preconditioning,seat_heater_right,fan_status,is_front_defroster_on,seat_heater_rear_left,gui_charge_rate_units,gui_24_hour_time,gui_temperature_units,gui_range_display,gui_distance_units,sun_roof_installed,rhd,remote_start_supported,homelink_nearby,parsed_calendar_supported,spoiler_type,ft,odometer,remote_start,pr,has_spoiler,roof_color,perf_config,valet_mode,calendar_supported,pf,sun_roof_percent_open,third_row_seats,seat_type,api_version,rear_seat_heaters,rt,exterior_color,df,autopark_state,sun_roof_state,notifications_supported,vehicle_name,dr,autopark_style,car_type,wheel_type,locked,center_display_state,last_autopark_error,car_version,dark_rims,autopark_state_v2,inside_tempF,driver_temp_settingF,outside_tempF,odometerF,idleNumber,sleepNumber,driveNumber,chargeNumber,polling,idleTime,running,rerunning,maxRange,left_temp_direction,max_avail_temp,is_climate_on,right_temp_direction,min_avail_temp,rear_seat_type,power,steering_wheel_heater,wiper_blade_heater,side_mirror_heaters,elevation
1,"2024-01-21 00:17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,,,,,,,,,,,
2,"2024-01-21 00:26:11",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,1,0,0,,,,,,,,,,,
3,"2024-01-21 00:27:11",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
4,"2024-01-21 00:28:14",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
5,"2024-01-21 00:29:14",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
6,"2024-01-21 00:30:11",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
7,"2024-01-21 00:31:13",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
8,"2024-01-21 00:32:09",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
9,"2024-01-21 00:32:09",,,,,,,,,,,,,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,False,0,0,0,0,,,,,,,,,,,
10,"2024-01-21 00:33:19",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.2,1.814805,64,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,1,0,0,0,,,0,,,0,0,0,0,0,
11,"2024-01-21 00:34:11",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.2,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,2,0,0,0,,,0,,,0,0,0,0,0,
12,"2024-01-21 00:35:10",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.3,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,3,0,0,0,,,0,,,0,0,0,0,0,
13,"2024-01-21 00:36:12",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.97,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.97,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.3,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,4,0,0,0,,,0,,,0,0,0,0,0,
14,"2024-01-21 00:37:11",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.2,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,5,0,0,0,,,0,,,0,0,0,0,0,
15,"2024-01-21 00:38:11",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.2,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,6,0,0,0,,,0,,,0,0,0,0,0,
16,"2024-01-21 00:39:13",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.1,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,7,0,0,0,,,0,,,0,0,0,0,0,
17,"2024-01-21 00:40:12",,,,,,,,LRW3E7EB1MC418960,,,0,,online,,0.0,16,1,,,0,,240.98,0,80,16,Engaged,,0,0,,73,,,,74,28.27,0,,,240.98,,Disconnected,0,,,,153.97,0.0,2,16,1,128.5,,128.5,0.0,1.814805,,,47.8918,,,0,,0,18.5,0,18.5,-1.5,0,0,,,0,0,0,0,,,,,,,0,,0,,,0,41752.71489,,0,off,,,0,,0,,,,,,0,,0,,,,,0,,,PinwheelRefresh18,1,,,"2023.44.30.9 eef9697",0,,32,,29,,1,0,0,0,,8,0,0,0,,,0,,,0,0,0,0,0,
